Overall rank,name,sex_ratio,unemployment,homicide_rate,infant_mortality,population,urban_population,region,pop_density,internet_users,fertility,refugees,life_expectancy_male,life_expectancy_female,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment_female,secondary_school_enrollment_male,post_secondary_enrollment_female,post_secondary_enrollment_male
41,Uzbekistan,99.6,6.1,1.1,20.8,33469,50.4,Central Asia,78.7,55.2,2.4,95.9,69.4,73.6,103.4,105,92.7,93.9,8.2,11.8
42,Lithuania,86.2,6.3,4.6,4,2722,67.9,Northern Europe,43.4,79.7,1.7,5.1,70,81.1,103.9,103.9,106,110.6,84,61.4
43,Colombia,96.5,9.7,25.3,12.6,50883,81.1,South America,45.9,64.1,1.8,9717.2,74.2,79.8,112.8,116.2,100.1,95,59.7,51.1
44,Slovenia,99.2,3.8,0.5,1.9,2079,54.8,Southern Europe,103.2,79.8,1.6,1.2,78.2,83.8,100.6,100.2,117.1,114.2,93,64.9
70,Serbia,96,12.7,1.2,4.9,8737,56.3,Southern Europe,99.9,73.4,1.5,250.7,73.2,78.4,100.3,100.3,95.6,94.6,78.3,56.7
70,Serbia,96,12.7,1.2,4.9,8737,56.3,Southern Europe,99.9,73.4,1.5,250.7,73.2,78.4,100.3,100.3,95.6,94.6,78.3,56.7
47,Argentina,95.3,10.4,5.3,10.2,45196,92,South America,16.5,74.3,2.3,165.6,73,79.8,109.6,109.9,111,106.5,112.8,67.8
48,Romania,94.6,3.9,1.3,6.7,19238,54.1,Eastern Europe,83.6,70.7,1.6,4.8,72.4,79.3,84.6,85.7,91.4,91.1,55.4,43.8
49,Cyprus,99.9,7.2,1.3,3.5,1207,66.8,Western Asia,130.7,84.4,1.3,33.3,78.6,82.8,99.4,99.3,99.5,101.1,82.4,69.6
50,Ecuador,100.1,4.2,5.8,13.6,17643,64,South America,71,57.3,2.4,420.5,74,79.6,104.1,102.4,102.8,100.1,48.4,41.5
51,Kuwait,157.9,2.3,1.8,7.1,4271,100,Western Asia,239.7,99.6,2.1,93.7,74.6,76.4,97.2,88.1,101,94.9,76.1,35.8
52,Thailand,94.8,0.8,2.6,7.8,69800,50.7,South-Eastern Asia,136.6,56.8,1.5,576.9,73.1,80.6,99.8,99.8,116.5,118.9,57.8,41
53,Latvia,85.5,6.5,4.4,3.3,1886,68.2,Northern Europe,30.3,83.6,1.7,225.5,69.9,79.8,99.5,99.3,110.2,111.3,105.1,72
55,Estonia,90,5.4,2.1,2,1326,69.1,Northern Europe,31.3,89.4,1.6,77,74,82.5,97.3,97.2,118.9,116.2,84.8,55.4
56,Jamaica,98.5,8,43.9,11.8,2961,56,Caribbean,273.4,55.1,2,0,72.8,75.9,88.9,93,83.6,81,34.7,19.9
57,Mauritius,97.4,6.7,2.9,11.2,1272,40.8,Eastern Africa,626.5,58.6,1.4,0,71.4,78.2,102.5,99.8,97.8,92.5,47.5,33.9
59,Honduras,99.9,5.2,38.9,15,9905,57.7,Central America,88.5,31.7,2.5,251.6,72.7,77.3,91.5,91.6,55.9,48.6,30.3,22.2
60,Kazakhstan,94.3,4.6,5.1,7.7,18777,57.5,Central Asia,7,78.9,2.8,8.9,68.8,77.4,105.3,103.5,113.8,112.7,68.4,55.4
62,Hungary,90.8,3.5,2.5,4.1,9660,71.6,Eastern Europe,106.7,76.1,1.5,6.4,73,80.1,100.5,101.1,103.6,103.4,53.9,43.3
63,Paraguay,103.3,4.8,7.1,19,7132,61.9,South America,18,65,2.4,4.3,72.1,76.2,103,105.7,78.6,73.3,40.9,28.6
65,Peru,98.7,3.2,7.9,12.8,32972,78.1,South America,25.8,52.5,2.3,860.1,73.7,79.2,105.1,108.8,103.6,109.3,72.7,68.7
